transform,dtype,beta,rapidity,angle,num_samples,relative_l2_mean,relative_l2_p10,relative_l2_p90,relative_l2_max,max_absolute_mean,max_absolute_max
boost,float32,0.0,0.0,,48,0.0,0.0,0.0,0.0,0.0,0.0
boost,float32,0.02475,0.024755055498840526,,48,0.00011155428208934498,1.702242955442839e-05,0.00013243105693579857,0.0017355596916600283,0.0008512802274064117,0.01742579809530298
boost,float32,0.0495,0.04954048866610192,,48,9.18990106578411e-05,1.529760704625643e-05,0.00015436224733181994,0.0006310043683815126,0.0005920885808373707,0.010177131710278786
boost,float32,0.07425000000000001,0.07438690143069122,,48,0.00010630517470796464,1.9189492263425527e-05,0.0001550159202988372,0.0012578271643930185,0.0005754176539335786,0.007833259406879733
boost,float32,0.099,0.09932534839764173,,48,0.00012036271774752921,2.146333562460594e-05,0.00022340074856209123,0.0012301676999593029,0.0006719250690697511,0.004995640303389948
boost,float32,0.12375,0.1243875737185151,,48,0.00014980744457902058,1.744583793266699e-05,0.00024170514013015942,0.002026619386235025,0.000732988716826647,0.00801820314987367
boost,float32,0.14850000000000002,0.149606261013205,,48,0.00011138759988211137,1.62705916506204e-05,0.00018784499394976155,0.001254769812777578,0.0006382005983610687,0.007771264286816404
boost,float32,0.17325000000000002,0.17501530140631247,,48,0.00013827770816008858,1.657719223336915e-05,0.00020508397338322906,0.0012123033958843612,0.0007111467117894552,0.0056907979664089225
boost,float32,0.198,0.20065008540444007,,48,0.00015035923026643654,1.96564433951304e-05,0.0001413209089619498,0.0023178811072655098,0.0007764980994340717,0.007178935012262855
boost,float32,0.22275,0.2265478252403017,,48,0.0001309806709852179,1.925627080000757e-05,0.0002131186672305861,0.001391961030325238,0.0005887851638739158,0.0038379728807125257
boost,float32,0.2475,0.2527479155013215,,48,0.00014907413259886883,2.0556002887783828e-05,0.00031203828671188914,0.001327581511829292,0.0009260444607648854,0.015507620893572494
boost,float32,0.27225,0.2792923414216047,,48,0.00012484726023304505,1.9899873968456023e-05,0.00033340052289195405,0.0012185250184004192,0.000786669491753695,0.00859315405566008
boost,float32,0.29700000000000004,0.3062261462528895,,48,0.0001028067056051689,2.2481796427961805e-05,0.00016755006892459792,0.0009350364264034455,0.0005137045521178815,0.005501611983831367
boost,float32,0.32175000000000004,0.33359797178825923,,48,0.0001935459351935688,2.4697433492764557e-05,0.00038088218386329886,0.0027088759958497502,0.0012219194399875,0.015680090993754447
boost,float32,0.34650000000000003,0.3614606895936885,,48,0.00011562787884205802,2.5146997859297087e-05,0.00024148644575980207,0.0005568848977272251,0.0007061982975811332,0.006973302757405264
boost,float32,0.37125,0.3898721450877456,,48,0.00012642900401238876,2.131226335376284e-05,0.00025251932095845403,0.0009424722257450786,0.0006257673769126164,0.006648674158341805
boost,float32,0.396,0.4188960426937514,,48,0.00018341235064614153,1.9476049364717048e-05,0.00037838686616603097,0.0026407157978055227,0.0009648080818786659,0.008829098727241469
boost,float32,0.42075,0.4486030084323726,,48,0.00020030794065141458,2.2830920882051824e-05,0.00035479325758920745,0.0026494635093319806,0.0010565813894614004,0.012023622374883303
boost,float32,0.4455,0.4790718773329895,,48,0.0001288441293795018,1.9147020037365997e-05,0.00026838737473083347,0.001037369181753991,0.0008530430582760331,0.007169913792637317
boost,float32,0.47025,0.5103912680958285,,48,0.0001772036417186666,2.2372143367940307e-05,0.00034817730867190626,0.002141105314646881,0.0008141064494463643,0.0050490702019168054
