transform,dtype,beta,rapidity,angle,num_samples,relative_l2_mean,relative_l2_p10,relative_l2_p90,relative_l2_max,max_absolute_mean,max_absolute_max
boost,float32,0.0,0.0,,48,0.0,0.0,0.0,0.0,0.0,0.0
boost,float32,0.02475,0.024755055498840526,,48,0.0007115084067495425,2.6688038365792354e-05,0.0009151044664127472,0.013570347786744655,0.0038069821916520987,0.08449234841723352
boost,float32,0.0495,0.04954048866610192,,48,0.00028060032769279135,2.3427687771672396e-05,0.0006622022014804794,0.002738820223611839,0.0015577275278747659,0.026381655915896474
boost,float32,0.07425000000000001,0.07438690143069122,,48,0.0006908491465285486,3.965684649273389e-05,0.001323853265893993,0.008552894729253144,0.003996229613429992,0.08673658475733004
boost,float32,0.099,0.09932534839764173,,48,0.000648089608051739,2.771306383690685e-05,0.0010027667667000199,0.013828938038439102,0.002420891632980716,0.024346435005943245
boost,float32,0.12375,0.1243875737185151,,48,0.0005623871878740951,2.7327029787354144e-05,0.0011825492301600728,0.009679465300875215,0.0024239928045488262,0.026723007404060084
boost,float32,0.14850000000000002,0.149606261013205,,48,0.0005160991294733829,2.8848998715167687e-05,0.0008534001668199443,0.006745987742138566,0.0026779791864885217,0.05169924650644808
boost,float32,0.17325000000000002,0.17501530140631247,,48,0.0007946342335096048,2.6371392333445095e-05,0.0008517329481245644,0.019034192702583955,0.002964511927834856,0.04834385270970398
boost,float32,0.198,0.20065008540444007,,48,0.000560225294664617,3.0154716906218485e-05,0.0010395793783454742,0.009012306709824017,0.002464858211325892,0.020671655175686254
boost,float32,0.22275,0.2265478252403017,,48,0.0006070320117884355,3.0786263363218156e-05,0.0011272612206780878,0.008606391813967275,0.0036724765591743605,0.08184993712499566
boost,float32,0.2475,0.2527479155013215,,48,0.0007959632399235367,2.5026578910718815e-05,0.0013865253195530526,0.011344368441280367,0.0036731655903161037,0.05406104149985014
boost,float32,0.27225,0.2792923414216047,,48,0.0004960140403568792,2.8316574628667804e-05,0.0010684916711758276,0.005655647047050188,0.0021697444716467715,0.02253294200285083
boost,float32,0.29700000000000004,0.3062261462528895,,48,0.0006016253014202818,3.725774813354967e-05,0.0013829243019369956,0.0054435415169949795,0.003204262683664524,0.03871811104273881
boost,float32,0.32175000000000004,0.33359797178825923,,48,0.0005480653166080362,3.64926998749064e-05,0.001170494803157704,0.00575012071503404,0.002558719548184315,0.026695049085598166
boost,float32,0.34650000000000003,0.3614606895936885,,48,0.0009153659209234145,3.8449565908694746e-05,0.0011439800487664253,0.02311676708722208,0.0037985156007602633,0.05129782512043457
boost,float32,0.37125,0.3898721450877456,,48,0.0016124784308215422,3.227441830446533e-05,0.0014029588938898837,0.05264055645464757,0.0057574473864100304,0.11898813384763862
boost,float32,0.396,0.4188960426937514,,48,0.0013893363326606286,3.439690419883705e-05,0.001041978058776301,0.047258954220075436,0.004929533667031305,0.11041617699744943
boost,float32,0.42075,0.4486030084323726,,48,0.001965278442379178,3.2921519376442406e-05,0.0008271227698963884,0.07550858458856809,0.0058691310271360405,0.18083918444862412
boost,float32,0.4455,0.4790718773329895,,48,0.0026163829912364896,3.271216098876665e-05,0.0011827237548118726,0.10155312728937194,0.007934219572889015,0.2499144053842719
boost,float32,0.47025,0.5103912680958285,,48,0.0016721711771031484,4.519709965404833e-05,0.00105499102304988,0.053288107868333066,0.006315490933992188,0.13516680943548076
boost,float32,0.495,0.5426615282747135,,48,0.0010071980567917095,3.95316060924838e-05,0.0011398818717914536,0.02444134776577981,0.00409967039454437,0.06412193776167152
boost,float32,0.5197499999999999,0.5759971624900828,,48,0.0017501387550099895,3.1825832566460084e-05,0.001575921920227418,0.05707119753296376,0.006153342839463435,0.15389708849991912
boost,float32,0.5445,0.6105298978293117,,48,0.002609386289936346,3.806713876520399e-05,0.0015593892187221463,0.0979772632841853,0.009026089887315158,0.2728646119917788
boost,float32,0.5692499999999999,0.6464126008948009,,48,0.0016096471166253234,3.883873449169791e-05,0.0018429785252162285,0.04408077570341579,0.007387095273746754,0.12674472888710087
boost,float32,0.594,0.6838243498742138,,48,0.0010158485202216665,2.7412671070510238e-05,0.002030974530206861,0.01017013291373351,0.006176308857624921,0.06452546212258592
boost,float32,0.61875,0.7229770987631133,,48,0.0010160589824996498,3.757695964713247e-05,0.0017726923725032322,0.016754524318691594,0.00497722061335673,0.05186145452878144
boost,float32,0.6435,0.7641245766249617,,48,0.0008195213684662793,3.843290338534853e-05,0.0015843268833382754,0.010077684740458812,0.004689728936594432,0.05510520406854358
boost,float32,0.66825,0.8075743892856996,,48,0.0014781493465364798,3.96685776902537e-05,0.001452990071276619,0.04633280109645928,0.0071422823916646285,0.15539288769514847
boost,float32,0.693,0.853704817272969,,48,0.0012301923399657738,3.4241670695139054e-05,0.0020631211859463926,0.025450888387834457,0.007079655942162703,0.08948416099530743
boost,float32,0.71775,0.902988685440707,,48,0.00117010188252966,3.3739340485773666e-05,0.0020590056100960154,0.026270078917196897,0.0065512266946963936,0.09590614535535069
boost,float32,0.7424999999999999,0.9560282112654439,,48,0.0008972205399680692,4.263243244887668e-05,0.00214375486204698,0.008179246842793432,0.007165166922988057,0.07913552709619864
boost,float32,0.76725,1.0136075144469434,,48,0.004001286856459543,3.08206366683837e-05,0.0020586021101131236,0.15897327958228727,0.01832118405647108,0.6510558472368349
boost,float32,0.792,1.076774756916779,,48,0.0012677434589493351,4.002794135951392e-05,0.00246253010361354,0.01834485152079622,0.009292903283512769,0.101852480750523
boost,float32,0.81675,1.146976564364992,,48,0.0025913521098986886,4.147856965585714e-05,0.0038709936156921965,0.07533833575747834,0.017011491716596848,0.3483177759677183
boost,float32,0.8415,1.2262905712838925,,48,0.0035417623197212937,3.232114092604742e-05,0.0032239904641094197,0.12371506864783695,0.023435165010373394,0.6215519657917339
boost,float32,0.86625,1.317856981538642,,48,0.0016345840501038296,3.5996170252185484e-05,0.004393485919997698,0.012199019265967599,0.01659791867887175,0.224443472268689
boost,float32,0.891,1.426756593214657,,48,0.00313786399962496,3.256064128711648e-05,0.004547121514359854,0.07590290589301531,0.028711176965924096,0.4644672320772214
boost,float32,0.91575,1.562037950309021,,48,0.0025257838562152664,2.5480758005645227e-05,0.0044111003084474,0.03273251493836341,0.03347061910903773,0.3425091689815005
boost,float32,0.9405,1.7423623191286886,,48,0.011204578208175157,4.3021792181686575e-05,0.008963875927290157,0.3471759895372046,0.1219826082535765,2.9049901500361557
boost,float32,0.9652499999999999,2.0175975853315316,,48,0.012585330200346086,6.263857882865442e-05,0.018468333307982403,0.35224241520825156,0.21086882727376535,3.897681703499991
boost,float32,0.99,2.6466524123622457,,48,0.06640151286447142,0.0001913250516301222,0.04194158660699378,2.154066688236171,1.9803239631097866,44.43144667500755
rotation,float32,,,0.0,48,0.0,0.0,0.0,0.0,0.0,0.0
rotation,float32,,,0.15707963267948966,48,0.00047725607449860624,2.854342554730793e-05,0.0009827961851038244,0.007377323341194325,0.0024581585826954915,0.03584835750602622
rotation,float32,,,0.3141592653589793,48,0.00039281310447059444,2.569319999896636e-05,0.0007937206097329501,0.006831290391466174,0.0014773383184343142,0.016469286436517905
rotation,float32,,,0.47123889803846897,48,0.0005300673003082623,3.09938368380241e-05,0.0010680536937688787,0.006081191191410404,0.0035249028070093434,0.050685834596780666
rotation,float32,,,0.6283185307179586,48,0.0008018935828811594,3.429091781854858e-05,0.0006570818966083375,0.017632847518058808,0.003280306356750586,0.06472939379321296
