method,jet_class,fpnd,train_pflop,infer_gflop_per_jet,lifecycle_pflop_at_1e6,lifecycle_pflop_at_1e7,lifecycle_pflop_at_1e8,pareto_train,pareto_infer,pareto_lifecycle_at_1e6,pareto_lifecycle_at_1e7,pareto_lifecycle_at_1e8,pareto_lifecycle,shown_in_training_panel,class_specific_fit_pflop,train_downstream_only_pflop,guidance_weight
MPGAN,g,0.12,2259.142030080,0.192821760,2259.334851840,2261.070247680,2278.424206080,False,False,False,False,False,False,True,695.120624640,,
MPGAN,q,0.35,2259.142030080,0.192821760,2259.334851840,2261.070247680,2278.424206080,False,False,False,False,False,False,True,868.900780800,,
MPGAN,t,0.36,2259.142030080,0.192821760,2259.334851840,2261.070247680,2278.424206080,False,False,False,False,False,False,True,695.120624640,,
FPCD,g,0.07,24.097037328,30.719410176,54.816447504,331.291139088,3096.038054928,True,True,True,True,True,True,True,,,
FPCD,q,0.08,24.097037328,30.719410176,54.816447504,331.291139088,3096.038054928,True,True,True,True,True,True,True,,,
FPCD,t,0.17,24.097037328,30.719410176,54.816447504,331.291139088,3096.038054928,True,False,True,False,False,False,True,,,
FPCD-1,g,0.11,385.552597248,0.059998848,385.612596096,386.152585728,391.552482048,False,True,False,False,True,True,True,,,
FPCD-1,q,0.09,385.552597248,0.059998848,385.612596096,386.152585728,391.552482048,False,True,False,False,True,True,True,,,
FPCD-1,t,0.56,385.552597248,0.059998848,385.612596096,386.152585728,391.552482048,False,False,False,False,False,False,True,,,
EPiC-GAN,g,1.01,311.121285120,0.012732416,311.134017536,311.248609280,312.394526720,False,True,False,False,True,True,True,103.707095040,,
EPiC-GAN,q,0.43,311.121285120,0.012732416,311.134017536,311.248609280,312.394526720,False,True,False,True,True,True,True,103.707095040,,
EPiC-GAN,t,0.31,311.121285120,0.012732416,311.134017536,311.248609280,312.394526720,False,True,False,False,True,True,True,103.707095040,,
PET,g,0.04,81.543163968,111.726489600,193.269653568,1198.808059968,11254.192123968,True,False,True,True,True,True,True,,,
PET,q,0.03,81.543163968,111.726489600,193.269653568,1198.808059968,11254.192123968,True,False,True,True,True,True,True,,,
PET,t,0.07,81.543163968,111.726489600,193.269653568,1198.808059968,11254.192123968,True,False,True,True,True,True,True,,,
OmniLearn,g,0.02,109536.215651174,111.726489600,109647.942140774,110653.480547174,120708.864611174,True,True,True,True,True,True,True,,65.234531174,
OmniLearn,q,0.02,109536.215651174,111.726489600,109647.942140774,110653.480547174,120708.864611174,True,True,True,True,True,True,True,,65.234531174,
OmniLearn,t,0.04,109536.215651174,111.726489600,109647.942140774,110653.480547174,120708.864611174,True,True,True,True,True,True,True,,65.234531174,
PC-JeDi DDIM,g,0.12,119.184307200,8.655360000,127.839667200,205.737907200,984.720307200,False,False,False,False,False,False,False,59.592153600,,
PC-JeDi DDIM,t,0.28,119.184307200,8.655360000,127.839667200,205.737907200,984.720307200,False,False,False,False,False,False,False,59.592153600,,
PC-JeDi EM,g,0.1,119.184307200,8.655360000,127.839667200,205.737907200,984.720307200,False,True,False,True,True,True,True,59.592153600,,
PC-JeDi EM,t,0.15,119.184307200,8.655360000,127.839667200,205.737907200,984.720307200,False,True,True,True,True,True,True,59.592153600,,
JetFUEL 64 / unguided (w=0),g,0.141994323,339.965605728,29.185511424,369.151117152,631.820719968,3258.516748128,False,False,False,False,False,False,False,,,
JetFUEL 64 / unguided (w=0),q,0.267901336,339.965605728,29.185511424,369.151117152,631.820719968,3258.516748128,False,False,False,False,False,False,False,,,
JetFUEL 64 / unguided (w=0),t,0.524383021,339.965605728,29.185511424,369.151117152,631.820719968,3258.516748128,False,False,False,False,False,False,False,,,
JetFUEL 128 / unguided (w=0),g,0.079720194,339.965605728,58.371022848,398.336628576,923.675834208,6177.067890528,False,False,False,False,False,False,True,,,
JetFUEL 128 / unguided (w=0),q,0.15462267,339.965605728,58.371022848,398.336628576,923.675834208,6177.067890528,False,False,False,False,False,False,True,,,
JetFUEL 128 / unguided (w=0),t,0.369261634,339.965605728,58.371022848,398.336628576,923.675834208,6177.067890528,False,False,False,False,False,False,False,,,
JetFUEL 64 / optimal guidance,g,0.141994323,339.965605728,29.185511424,369.151117152,631.820719968,3258.516748128,False,False,False,False,False,False,False,,,0.0
JetFUEL 64 / optimal guidance,q,0.213678924,339.965605728,58.371022848,398.336628576,923.675834208,6177.067890528,False,False,False,False,False,False,False,,,0.25
JetFUEL 64 / optimal guidance,t,0.201928317,339.965605728,58.371022848,398.336628576,923.675834208,6177.067890528,False,False,False,False,False,False,False,,,0.5
JetFUEL 128 / optimal measured guidance,g,0.079720194,339.965605728,58.371022848,398.336628576,923.675834208,6177.067890528,False,False,False,False,False,False,False,,,0.0
JetFUEL 128 / optimal measured guidance,q,0.15462267,339.965605728,58.371022848,398.336628576,923.675834208,6177.067890528,False,False,False,False,False,False,False,,,0.0
JetFUEL 128 / optimal measured guidance,t,0.174387528,339.965605728,116.742045696,456.707651424,1507.386062688,12014.170175328,False,False,False,False,False,False,True,,,0.5
