method,jet_class,guidance_weight,training_accounting,train_pflop,sampler_work_per_jet,infer_gflop_per_jet,inference_pflop_at_1e6,lifecycle_pflop_at_1e6,inference_pflop_at_1e7,lifecycle_pflop_at_1e7,inference_pflop_at_1e8,lifecycle_pflop_at_1e8
MPGAN,g,,portfolio acquisition cost,2259.142030080,1 generator evaluation,0.192821760,0.192821760,2259.334851840,1.928217600,2261.070247680,19.282176000,2278.424206080
MPGAN,q,,portfolio acquisition cost,2259.142030080,1 generator evaluation,0.192821760,0.192821760,2259.334851840,1.928217600,2261.070247680,19.282176000,2278.424206080
MPGAN,t,,portfolio acquisition cost,2259.142030080,1 generator evaluation,0.192821760,0.192821760,2259.334851840,1.928217600,2261.070247680,19.282176000,2278.424206080
FPCD,g,,portfolio acquisition cost,24.097037328,512 DDIM steps = 512 particle evaluations,30.719410176,30.719410176,54.816447504,307.194101760,331.291139088,3071.941017600,3096.038054928
FPCD,q,,portfolio acquisition cost,24.097037328,512 DDIM steps = 512 particle evaluations,30.719410176,30.719410176,54.816447504,307.194101760,331.291139088,3071.941017600,3096.038054928
FPCD,t,,portfolio acquisition cost,24.097037328,512 DDIM steps = 512 particle evaluations,30.719410176,30.719410176,54.816447504,307.194101760,331.291139088,3071.941017600,3096.038054928
FPCD-1,g,,portfolio acquisition cost,385.552597248,1 distilled DDIM step = 1 particle evaluation,0.059998848,0.059998848,385.612596096,0.599988480,386.152585728,5.999884800,391.552482048
FPCD-1,q,,portfolio acquisition cost,385.552597248,1 distilled DDIM step = 1 particle evaluation,0.059998848,0.059998848,385.612596096,0.599988480,386.152585728,5.999884800,391.552482048
FPCD-1,t,,portfolio acquisition cost,385.552597248,1 distilled DDIM step = 1 particle evaluation,0.059998848,0.059998848,385.612596096,0.599988480,386.152585728,5.999884800,391.552482048
EPiC-GAN,g,,portfolio acquisition cost,311.121285120,1 generator evaluation,0.012732416,0.012732416,311.134017536,0.127324160,311.248609280,1.273241600,312.394526720
EPiC-GAN,q,,portfolio acquisition cost,311.121285120,1 generator evaluation,0.012732416,0.012732416,311.134017536,0.127324160,311.248609280,1.273241600,312.394526720
EPiC-GAN,t,,portfolio acquisition cost,311.121285120,1 generator evaluation,0.012732416,0.012732416,311.134017536,0.127324160,311.248609280,1.273241600,312.394526720
PET,g,,portfolio acquisition cost,81.543163968,300 steps x (2 body + 4 head) calls,111.726489600,111.726489600,193.269653568,1117.264896000,1198.808059968,11172.648960000,11254.192123968
PET,q,,portfolio acquisition cost,81.543163968,300 steps x (2 body + 4 head) calls,111.726489600,111.726489600,193.269653568,1117.264896000,1198.808059968,11172.648960000,11254.192123968
PET,t,,portfolio acquisition cost,81.543163968,300 steps x (2 body + 4 head) calls,111.726489600,111.726489600,193.269653568,1117.264896000,1198.808059968,11172.648960000,11254.192123968
OmniLearn,g,,portfolio acquisition cost,109536.215651174,300 steps x (2 body + 4 head) calls,111.726489600,111.726489600,109647.942140774,1117.264896000,110653.480547174,11172.648960000,120708.864611174
