run,steps,parameters,qualified,flow_geometry,reference_readout,scalar_init,particle_readout,geometry_state,coupling,prior,block_condition_each_layer,fpnd_g,fpd,fpd_uncertainty,w1m,w1m_uncertainty,w1p_pt,w1p_eta,w1p_phi,mean_w1p,coverage,mmd,invalid_fraction,negative_energy_fraction,spacelike_fraction,source_run,jet_type,fpnd_metric,fpnd_value,source_git_commit,source_manifest,source_summary_path,source_metrics_path,source_checkpoint_path,evaluation_samples,evaluation_mode,retrieved_at_utc
A,200000,441621,false,euclidean,none,normsq,ambient,evolving_auxiliary,none,axis_aligned_equal,false,,,,0.24985720682613682,0.007519381875699121,,,,,,,0.04492,0.02293604239821434,0.25452184677124023,2026-08-10_07-56-16--d3647a2b-81c1-4a20-81d1-db83e1759e4b-g30-lnet-fm-a,g,fpnd_g,,,,,,,,,
B,200000,441621,true,mass_shell,none,normsq,ambient,evolving_auxiliary,none,axis_aligned_equal,false,91.79557364107171,0.10313999368130923,0.0009069996161437526,0.025671802021285807,0.00007980820654965408,0.011668865863771983,0.005873853130647454,0.018273479454655357,0.011938732816358264,0.43600000000000005,0.030080599904672926,0,0,0,2026-08-10_07-56-14--99b05d53-04d1-43b4-8d93-3db88d06804a-g30-lnet-fm-b,g,fpnd_g,91.79557364107171,,,,,,,,
C,200000,451319,false,euclidean,plain_readout,normsq,ambient,evolving_auxiliary,none,axis_aligned_equal,false,2.16570981265965e+27,762.9267216726371,22.252497188404718,0.10569893398928457,0.00023332909245362408,0.07496158647053305,0.0611368939803284,0.014250626421527985,0.05011636895746315,0.33399999999999996,0.04512480114147359,0.00006,0.002982476493343711,0.3387017548084259,2026-08-10_17-21-03--ca02ec39-c3b0-40b5-9c83-66428ec3d990-g30-lnet-fm-c,g,fpnd_g,2.16570981265965e+27,,,,,,,,
D,200000,451319,true,mass_shell,plain_readout,normsq,ambient,evolving_auxiliary,none,axis_aligned_equal,false,16.308762924856296,221.14531437279166,89.80922230390743,0.008915329886747411,0.00016877103897944826,0.007056784667943426,0.01835052922209158,0.01278336833420968,0.01273022740808156,0.426,0.030112887402288596,0.00004,0,0,2026-08-10_17-21-02--82e27607-9e3b-4f5d-8770-0bb400b9ab2c-g30-lnet-fm-d,g,fpnd_g,16.308762924856296,,,,,,,,
E,200000,441717,true,mass_shell,none,reference_contractions,ambient,evolving_auxiliary,online_geodesic_icp,axis_aligned_equal,false,28.425951515256628,0.052537698870669024,0.005628639220498572,0.025347465406571602,0.0003923228407759823,0.019677149151483296,0.023610362032170273,0.0061309187831490464,0.016472809988934207,0.389,0.032080511544431874,0,0,0,2026-08-11_01-25-22--7ca3a07c-30f5-40f1-807c-fd86144193cc-g30-lnet-refscalar-icp-e,g,fpnd_g,28.425951515256628,,,,,,,,
F,200000,451415,true,mass_shell,plain_readout,reference_contractions,ambient,evolving_auxiliary,online_geodesic_icp,axis_aligned_equal,false,23.02233659494965,0.02526927443437366,0.004147331849087835,0.023141452055599233,0.00026908279569386076,0.016710818158439503,0.02283127869783974,0.006058985541362111,0.015200360799213783,0.40499999999999997,0.029368859080067443,0,0,0,2026-08-11_02-23-45--1b1cb3df-f6b6-463d-9691-181a89b657d3-g30-lnet-refscalar-icp-f,g,fpnd_g,23.02233659494965,,,,,,,,
G-200K,200000,617297,true,mass_shell,plain_readout,reference_contractions,normalized_logmap,evolving_auxiliary,online_geodesic_icp,axis_aligned_lognormal,false,0.3934724688560607,0.00015928957808046833,0.000038216723679924344,0.0018839214249479635,0.00013682646532807915,0.001841942034702937,0.002020424057394491,0.0002514472984015778,0.0013712711301663353,0.5630000000000001,0.02647376458982046,0,0,0,2026-08-11_19-38-34--1e029101-86f7-4d25-bbfc-d07c5dbe28e2-g30-lnet-logmap-g-r1,g,fpnd_g,0.3934724688560607,,,,,,,,
H-200K,200000,617297,true,mass_shell,normalized_tangent_readout,reference_contractions,normalized_logmap,evolving_auxiliary,online_geodesic_icp,axis_aligned_lognormal,false,0.3744850249067895,0.00014687258871596745,0.000036548433843446014,0.001807892116286786,0.0001467626040008502,0.0017265814257382678,0.001887145977237838,0.00017757076058301605,0.0012637660545197073,0.5650000000000001,0.02683462547581964,0,0,0,2026-08-12_06-02-05--c248b2b1-9642-4b85-bbc4-35201f2d1c42-g30-lnet-logmap-h-r1,g,fpnd_g,0.3744850249067895,,,,,,,,
I-200K,200000,561515,true,mass_shell,plain_readout,reference_contractions,normalized_logmap,fixed_physical_geodesic,online_geodesic_icp,axis_aligned_lognormal,false,0.42643959103094176,0.0001685206693645116,0.00003972277561521624,0.0019814714783728707,0.00021177808885644006,0.0019781668697478327,0.002009496973406976,0.00022586072872037266,0.0014045081906250605,0.5449999999999999,0.027930451378322896,0,0,0,2026-08-11_20-31-17--fbe6eb67-2d3c-4f65-b603-c27ad4f2a93e-g30-lnet-logmap-i-r1,g,fpnd_g,0.42643959103094176,,,,,,,,
J-200K,200000,561515,true,mass_shell,normalized_tangent_readout,reference_contractions,normalized_logmap,fixed_physical_geodesic,online_geodesic_icp,axis_aligned_lognormal,false,0.4563050921511831,0.0001747044885114479,0.00003874029677439696,0.0021913881965497212,0.00021844860688112212,0.0020267403868692263,0.002130803374476549,0.00023716682083831843,0.001464903527394698,0.539,0.02815155618198086,0,0,0,2026-08-11_23-31-12--bbabafd7-4c73-4bc0-bba4-ffd370d30907-g30-lnet-logmap-j-r1,g,fpnd_g,0.4563050921511831,,,,,,,,
H-BlockCond-200K,200000,783185,true,mass_shell,normalized_tangent_readout,reference_contractions,normalized_logmap,evolving_auxiliary,online_geodesic_icp,axis_aligned_lognormal,true,0.3867893280111616,0.00015236507979369285,0.00003643941129849006,0.002164337562233097,0.00018802717941137297,0.0017539303107850328,0.0019195192344651341,0.00022426258086432287,0.0012992373753714967,0.5440000000000002,0.027401998519112764,0,0,0,2026-08-12_21-59-45--ebdc8ee9-cb56-48c7-9073-8316c94dc5c2-g30-lnet-h-blockcond-200k,g,fpnd_g,0.3867893280111616,,,,,,,,
H-500K,500000,617297,true,mass_shell,normalized_tangent_readout,reference_contractions,normalized_logmap,evolving_auxiliary,online_geodesic_icp,axis_aligned_lognormal,false,0.3677770574810495,0.00013971314365218276,0.00004022329391928164,0.002030412438164652,0.00017330026017634578,0.0019007284940874552,0.0018813214930686315,0.00022119314168869204,0.0013344143762815928,0.5509999999999999,0.02843977441100365,0,0,0,2026-08-12_21-59-44--2934c3ae-d927-4e3c-af85-1213d69674a9-g30-lnet-h-500k,g,fpnd_g,0.3677770574810495,,,,,,,,
G-500K,500000,617297,true,mass_shell,plain_readout,reference_contractions,normalized_logmap,evolving_auxiliary,online_geodesic_icp,axis_aligned_lognormal,false,0.3754273938276924,0.0001388632848437601,0.00003846639070941774,0.0018679403501882352,0.00031116748703444657,0.0019518954987788437,0.0019939849472383102,0.00020579921890871348,0.0013838932216419556,0.5549999999999999,0.026760898528734083,0,0,0,2026-08-12_21-59-55--67b51810-3a53-4264-a94d-794fa613ea6d-g30-lnet-g-500k,g,fpnd_g,0.3754273938276924,,,,,,,,
G-331K,331000,617297,true,mass_shell,normalized_tangent_readout,reference_contractions,normalized_logmap,evolving_auxiliary,online_geodesic_icp,axis_aligned_lognormal,false,0.3931283555598952,0.0001508182305972459,0.00004014352234721919,0.002069966528205922,0.00011823811001736566,0.001896337776117919,0.002011292316770756,0.0001860534538845353,0.0013645611822577367,0.5359999999999999,0.027611638331871375,0,0,0,2026-08-20_03-22-20--15e1ff3e-3a03-4a8f-8a56-71fc42a7d730-g30-lnet-h-331k,g,fpnd_g,0.3931283555598952,1a0d91842c6f455a8374ad4695f39d8a1af62706,src/nrp/as-jet-train-single30-lorentznet-h-331k.yaml,src/downloaded_output/2026-08-20_03-22-20--15e1ff3e-3a03-4a8f-8a56-71fc42a7d730-g30-lnet-h-331k/train/summary.json,src/downloaded_output/2026-08-20_03-22-20--15e1ff3e-3a03-4a8f-8a56-71fc42a7d730-g30-lnet-h-331k/train/metrics.csv,src/downloaded_output/2026-08-20_03-22-20--15e1ff3e-3a03-4a8f-8a56-71fc42a7d730-g30-lnet-h-331k/train/models/final_checkpoint.pth,50000,terminal_train_ema_seed42_64step_euler,2026-08-21T21:29:08Z
T-331K,331000,617297,true,mass_shell,normalized_tangent_readout,reference_contractions,normalized_logmap,evolving_auxiliary,online_geodesic_icp,axis_aligned_lognormal,false,,0.42895595083972093,0.015761471900814488,0.005828736526566061,0.0001572842420253462,0.0036156542241793043,0.006807708411691216,0.0005549041576792667,0.0036594222645165955,0.5740000000000001,0.056643891197699636,0,0,0,2026-08-20_18-44-32--21c0e36e-5865-4365-94d8-c5c70d73d14d-t30-lnet-h-331k,t,fpnd_t,2.8426810280129757,1a0d91842c6f455a8374ad4695f39d8a1af62706,src/nrp/as-jet-train-single30-lorentznet-h-331k.yaml,src/downloaded_output/2026-08-20_18-44-32--21c0e36e-5865-4365-94d8-c5c70d73d14d-t30-lnet-h-331k/train/summary.json,src/downloaded_output/2026-08-20_18-44-32--21c0e36e-5865-4365-94d8-c5c70d73d14d-t30-lnet-h-331k/train/metrics.csv,src/downloaded_output/2026-08-20_18-44-32--21c0e36e-5865-4365-94d8-c5c70d73d14d-t30-lnet-h-331k/train/models/final_checkpoint.pth,50000,terminal_train_ema_seed42_64step_euler,2026-08-21T21:29:08Z
